feature,importance
ohe__flat_type_EXECUTIVE,0.0918727
ohe__flat_type_3 ROOM,0.06457532
num__flat_age,0.04646741
num__floor_area_sqm,0.041439697
ohe__flat_type_2 ROOM,0.034902018
ohe__flat_type_1 ROOM,0.03446764
ohe__block_259,0.0309933
num__latitude,0.027084874
num__geo_cluster,0.024519391
ohe__block_299A,0.023075694
num__lease_commence_date,0.020801114
ordinal__flat_model,0.017737528
ohe__flat_type_MULTI-GENERATION,0.017343795
num__storey_median,0.010653594
num__longitude,0.009889379
num__remaining_lease,0.009780365
ohe__flat_type_5 ROOM,0.009661585
ohe__block_280B,0.008270159
ohe__flat_type_4 ROOM,0.007989399
ohe__block_80C,0.0067158253
ordinal__town,0.0066853426
ohe__block_292A,0.0061373855
ordinal__street_name,0.0045447787
ohe__block_783A,0.0044724913
num__sentiment_convenience,0.004183573
ohe__block_635A,0.0039842688
num__walking_time_min,0.00375857
num__sentiment_amenities,0.0033602559
ohe__block_96A,0.003245461
ohe__block_187A,0.0031851453
num__mrt_distance_km,0.0030412255
ohe__block_282A,0.0028702503
ohe__block_853,0.0024408563
ohe__block_460,0.0022517615
ohe__block_180,0.0022201191
ohe__block_114,0.0021796427
ohe__block_556,0.0021643797
ohe__block_312,0.002153268
ohe__block_807B,0.0021490983
ordinal__nearest_mrt,0.0021245622
num__sentiment_general,0.002100176
num__sentiment_property,0.0020562038
ohe__block_127A,0.0020381112
ohe__block_805D,0.0020038506
ohe__block_212A,0.0017579335
ohe__block_628,0.0017229241
ohe__block_669D,0.0017191434
num__mrt_accessibility,0.0016344424
ohe__block_78,0.001585346
ohe__block_306B,0.0015654835
ohe__block_716,0.0014903401
ohe__block_324C,0.0014821498
ohe__block_517D,0.001405219
ohe__storey_range_01 TO 03,0.0013673449
ohe__block_243,0.0013659706
ohe__block_623,0.0013611871
ohe__block_671A,0.0013293946
ohe__block_91A,0.001327559
ohe__block_269B,0.0012681856
ohe__block_108B,0.0012592248
ohe__block_441,0.0012194832
num__walking_distance_m,0.001151823
ohe__block_181A,0.0011454805
ohe__block_95C,0.0011259163
ohe__block_26,0.001099152
ohe__block_433,0.0010733842
ohe__block_967,0.001065966
ohe__block_122C,0.0010552668
ohe__block_23,0.0010531245
ohe__block_489C,0.001036851
ohe__block_175A,0.0010311181
ohe__block_436C,0.0010048832
ohe__block_672B,0.000976501
ohe__block_28A,0.0009696025
ohe__block_858,0.00095345697
ohe__block_932,0.00094189675
ohe__block_219A,0.0009341377
ohe__block_444,0.0009318963
ohe__block_57,0.0009277081
ohe__block_417A,0.0009250343
ohe__block_3D,0.00092209486
ohe__block_517A,0.00091394386
ohe__block_141,0.0009096345
ohe__block_262B,0.0008818307
ohe__block_418,0.00087591936
ohe__block_309A,0.0008708044
ohe__block_811A,0.0008673294
ohe__block_111B,0.00086584064
ohe__block_857,0.0008487364
ohe__block_287,0.0008447165
ohe__block_940,0.0008310628
ohe__block_44,0.00082289794
ohe__block_32,0.0008088327
ohe__block_99A,0.00080670224
ohe__block_233A,0.00080345816
ohe__block_109B,0.0007976863
ohe__block_139,0.00078089174
ohe__block_856B,0.0007757476
ohe__block_242,0.0007528009
ohe__block_585,0.0007361353
ohe__block_69,0.00071602553
ohe__block_822,0.000713083
ohe__block_641,0.00071191747
ohe__block_163B,0.000700433
ohe__block_588D,0.00069725595
ohe__block_611,0.00068569195
ohe__block_490,0.0006766302
ohe__block_303C,0.0006741185
ohe__block_856C,0.0006713366
ohe__block_118A,0.0006662582
ohe__block_335B,0.00066584744
ohe__block_201E,0.00066215196
ohe__block_2A,0.00066147535
ohe__block_219,0.00066117424
ohe__block_430B,0.0006607169
ohe__block_143,0.00065943325
ohe__block_488A,0.0006592515
ohe__block_647,0.0006579167
ohe__block_27,0.00065491704
ohe__block_163,0.0006526235
ohe__block_434B,0.00065125036
ohe__block_272D,0.0006510142
ohe__block_695,0.00063246395
ohe__block_693A,0.0006279906
ohe__block_182,0.000618783
ohe__block_4A,0.00061179616
ohe__block_118,0.0006116289
ohe__block_449B,0.0006101896
ohe__block_38A,0.00060255016
ohe__block_572A,0.00059233326
ohe__block_51,0.00059017114
ohe__block_856D,0.0005816288
ohe__block_189,0.0005809649
ohe__block_257,0.0005805826
ohe__block_7,0.0005801535
ohe__block_4B,0.0005773506
ohe__block_282C,0.000576074
ohe__block_524,0.0005752635
ohe__block_349,0.00057280186
ohe__block_544,0.0005700935
ohe__block_352,0.00056845084
ohe__block_273A,0.00056441245
ohe__block_76A,0.0005619184
ohe__block_282B,0.00055882934
ohe__block_9A,0.0005583913
ohe__block_80A,0.0005581153
ohe__block_287D,0.0005577227
ohe__block_690B,0.00055642286
ohe__block_766,0.00055502396
ohe__block_4,0.0005546097
ohe__block_623C,0.0005540434
ohe__block_307,0.00055330497
ohe__block_223A,0.0005493345
ohe__block_145,0.0005481308
ohe__block_629,0.0005432195
ohe__block_588B,0.00054035045
ohe__block_535A,0.00053922966
ohe__block_233,0.0005386096
ohe__block_11,0.00053546496
ohe__block_189A,0.00053372746
ohe__block_216,0.00052880275
ohe__block_588A,0.0005266505
